Key,ru,en,de,fr,tr,es,ja,zh,id
Main Menu,,,,,,,,,
LEADERBOARD,ТАБЛИЦА ЛИДЕРОВ,LEADERBOARD,BESTENLISTE,CLASSEMENT,LİDER TABLOSU,TABLA DE CLASIFICACIÓN,リーダーボード,排行榜,PAPAN PERINGKAT
RECORD,РЕКОРД,RECORD,REKORD,RECORD,REKOR,RÉCORD,記録,記錄,REKOR
IN FLIGHT,В ПОЛЕТ,IN FLIGHT,IM FLUG,EN VOL,UÇUŞTA,EN VUELO,飛行中,飛行中,DALAM PENERBANGAN
INVENTORY,ИНВЕНТАРЬ,INVENTORY,INVENTAR,INVENTAIRE,ENVANTER,INVENTARIO,在庫,存貨,INVENTARIS
SETTINGS,НАСТРОЙКИ,SETTINGS,EINSTELLUNGEN,PARAMÈTRES,AYARLAR,AJUSTES,設定,設定,PENGATURAN
RECORDS,РЕКОРДЫ,RECORDS,REKORDE,RECORDS,REKORLAR,RÉCORDS,記録,記錄,REKOR
BACK,НАЗАД,BACK,ZURÜCK,RETOUR,GERİ,ATRÁS,戻る,返回,KEMBALI
OPEN,ОТКРЫТЬ,OPEN,OFFEN,OUVRIR,AÇ,ABIERTO,開ける,打開,MEMBUKA
CHARACTER,ПЕРСОНАЖ,CHARACTER,CHARAKTER,PERSONNAGE,KARAKTER,PERSONAJE,キャラクター,角色,KARAKTER
FLOWERS,ЦВЕТЫ,FLOWERS,BLUMEN,FLEURS,ÇİÇEKLER,FLORES,花,花朵,BUNGA
BOMBS,БОМБЫ,BOMBS,BOMBEN,BOMBES,BOMBALAR,BOMBAS,爆弾,炸彈,BOM
SPIKES,ШИПЫ,SPIKES,STACHELN,POINTES,DİKENLER,PICOS,スパイク,尖刺,DURI
BEETLES,ЖУКИ,BEETLES,Käfer,COLÉOPTÈRES,BÖCEKLER,ESCARABAJOS,甲虫,甲蟲,KUMBANG
Open chest description,Открой сундук и получи образы окружения,Open the chest and get environment images,Öffnen Sie die Truhe und erhalten Sie Umgebungsbilder,Ouvrez le coffre et obtenez des images d'environnement,Sandığı açın ve çevre görüntülerini alın,Abre el cofre y obtén imágenes del entorno.,宝箱を開けて環境画像を入手する,打開箱子，取得環境影像,Buka peti dan dapatkan gambar lingkungan
CONTINUE...,ПРОДОЛЖИТЬ...,CONTINUE...,WEITERMACHEN...,CONTINUER...,DEVAM ETMEK...,CONTINUAR...,続く...,繼續...,MELANJUTKAN...
Language,Язык,Language,Sprache,Langue,Dil,Idioma,言語,語言,Bahasa
,,,,,,,,,
Game Loop,,,,,,,,,
The collection is over,Сбор окончен,The collection is over,Die Sammlung ist beendet,La collection est terminée,Koleksiyon bitti,La colección ha terminado,コレクションは終了しました,收集已結束,Koleksinya sudah selesai
New Record,Новый Рекорд,New Record,Neuer Rekord,Nouveau record,Yeni Kayıt,Nuevo récord,新記録,新紀錄,Rekor Baru
x3 POLLEN,х3 ПЫЛЬЦА,x3 POLLEN,x3 POLLEN,x3 POLLEN,x3 POLEN,x3 POLEN,花粉×3,x3 花粉,x3 serbuk sari
x3 ORE,х3 РУДЫ,x3 ORE,x3 ERZ,x3 minerai,x3 CEVHER,x3 MINERAL,鉱石×3,x3 礦石,x3 BIJIH
HOME,ДОМОЙ,HOME,HEIM,MAISON,EV,HOGAR,家,家,RUMAH
AGAIN,СНОВА,AGAIN,WIEDER,ENCORE,TEKRAR,DE NUEVO,また,再次,LAGI
PAUSE,ПАУЗА,PAUSE,PAUSE,PAUSE,DURAKLAT,PAUSA,一時停止,暫停,BERHENTI SEBENTAR
,,,,,,,,,
Tutorial,,,,,,,,,
"By picking flowers, you earn pollen and set records.","Собирая цветы, ты зарабатываешь пыльцу и ставишь рекорды","By picking flowers, you earn pollen and set records.",Durch das Pflücken von Blumen sammeln Sie Pollen und stellen Rekorde auf.,"En cueillant des fleurs, vous gagnez du pollen et établissez des records.",Çiçek toplayarak polen kazanıp rekor kırabiliyorsunuz.,Recogiendo flores ganas polen y estableces récords.,花を摘むことで花粉を獲得し、記録を樹立することができます。,透過採摘花朵，您可以獲得花粉並創造記錄。,"Dengan memetik bunga, Anda memperoleh serbuk sari dan mencetak rekor."
"While pulling, you can switch to another flower to change your movement.",Во время притягивания ты можешь переключиться на другой цветок для смены движения,"While pulling, you can switch to another flower to change your movement.","Während des Ziehens können Sie zu einer anderen Blume wechseln, um Ihre Bewegung zu ändern.","En tirant, vous pouvez passer à une autre fleur pour modifier votre mouvement.",Çekerken hareketinizi değiştirmek için başka bir çiçeğe geçebilirsiniz.,"Mientras tiras, puedes cambiar a otra flor para cambiar tu movimiento.",引っ張っている間に別の花に切り替えて動きを変えることもできます。,拉動時，您可以切換到另一朵花來改變您的動作。,"Sambil menarik, Anda dapat beralih ke bunga lain untuk mengubah gerakan Anda."
